Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2019-12-02,-0.87,-0.12,0.51,0.14,0.18,0.006999999999999999
2019-12-03,-0.66,0.41,-0.82,-0.51,-0.53,0.006999999999999999
2019-12-04,0.6,0.21,0.25,0.16,0.04,0.006999999999999999
2019-12-05,0.13,-0.15,0.45,0.27,0.36,0.006999999999999999
2019-12-06,0.91,0.38,0.41,0.35,0.25,0.006999999999999999
2019-12-09,-0.33,0.3,0.14,-0.13,-0.25,0.006999999999999999
2019-12-10,-0.08,0.28,-0.09,-0.2,0.08,0.006999999999999999
2019-12-11,0.28,-0.1,0.09,0.32,0.13,0.006999999999999999
2019-12-12,0.9,0.15,1.16,0.12,0.23,0.006999999999999999
2019-12-13,-0.03,-0.48,-0.55,-0.29,-0.21,0.006999999999999999
2019-12-16,0.74,0.0,-0.05,-0.37,0.15,0.006999999999999999
2019-12-17,0.1,0.49,0.7,0.12,-0.05,0.006999999999999999
2019-12-18,-0.05,0.27,0.1,0.26,-0.02,0.006999999999999999
2019-12-19,0.43,-0.13,-0.43,-0.23,-0.03,0.006999999999999999
2019-12-20,0.48,-0.27,-0.3,0.03,-0.06,0.006999999999999999
2019-12-23,0.1,0.17,-0.3,-0.12,0.31,0.006999999999999999
2019-12-24,0.01,0.36,-0.02,-0.28,0.03,0.006999999999999999
2019-12-26,0.48,-0.56,-0.01,0.22,-0.2,0.006999999999999999
2019-12-27,-0.1,-0.54,-0.07,0.25,0.15,0.006999999999999999
2019-12-30,-0.57,0.27,0.6,0.13,0.45,0.006999999999999999
2019-12-31,0.28,0.02,0.13,-0.11,0.2,0.006999999999999999
2020-01-02,0.86,-0.95,-0.38,0.2,-0.22,0.006
2020-01-03,-0.67,0.28,0.02,-0.18,-0.15,0.006
2020-01-06,0.36,-0.22,-0.55,-0.19,-0.32,0.006
2020-01-07,-0.19,-0.04,-0.23,-0.11,-0.31,0.006
2020-01-08,0.47,-0.17,-0.64,-0.17,-0.12,0.006
2020-01-09,0.65,-0.71,-0.48,-0.14,0.06,0.006
2020-01-10,-0.34,-0.25,-0.34,0.02,-0.08,0.006
2020-01-13,0.73,-0.08,-0.13,0.33,0.28,0.006
2020-01-14,-0.06,0.47,-0.13,-0.28,-0.07,0.006
2020-01-15,0.16,0.26,-0.83,-0.08,-0.23,0.006
2020-01-16,0.88,0.5,-0.11,0.03,-0.08,0.006
2020-01-17,0.28,-0.63,-0.1,0.26,0.02,0.006
2020-01-21,-0.32,-0.67,-0.61,-0.11,-0.33,0.006
2020-01-22,0.08,-0.25,-0.01,-0.26,0.0,0.006
2020-01-23,0.08,-0.07,-0.15,0.26,-0.04,0.006
2020-01-24,-0.97,-0.48,-0.33,0.17,-0.04,0.006
2020-01-27,-1.56,0.26,-0.42,-0.58,0.05,0.006
2020-01-28,1.02,-0.15,-0.43,0.15,-0.1,0.006
2020-01-29,-0.1,-0.45,-0.96,0.25,0.19,0.006
2020-01-30,0.34,-0.63,0.64,-0.38,-0.12,0.006
2020-01-31,-1.74,-0.53,-0.33,-0.58,-0.69,0.006
2020-02-03,0.84,0.36,-0.7,-0.74,-0.35,0.006
2020-02-04,1.57,-0.12,-0.71,0.34,-0.15,0.006
2020-02-05,0.97,0.74,1.51,1.01,0.65,0.006
2020-02-06,0.27,-0.6,-0.85,-0.06,-0.36,0.006
2020-02-07,-0.55,-0.83,-0.03,-0.19,-0.52,0.006
2020-02-10,0.73,-0.18,-0.91,-0.12,-0.41,0.006
2020-02-11,0.28,0.34,1.06,0.3,0.23,0.006
2020-02-12,0.66,0.16,-0.35,0.22,0.0,0.006
2020-02-13,-0.09,0.13,-0.03,-0.15,-0.41,0.006
2020-02-14,0.15,-0.57,-0.69,-0.25,-0.27,0.006
2020-02-18,-0.19,-0.03,-0.68,-0.49,-0.67,0.006
2020-02-19,0.6,0.23,-0.04,0.11,-0.33,0.006
2020-02-20,-0.35,0.59,0.68,0.07,-0.15,0.006
2020-02-21,-1.12,-0.02,0.04,-0.17,0.36,0.006
2020-02-24,-3.39,0.15,-0.01,-0.36,0.23,0.006
2020-02-25,-3.09,-0.35,-0.71,-0.62,0.02,0.006
2020-02-26,-0.52,-0.79,-1.21,-0.51,-0.11,0.006
2020-02-27,-4.22,0.7,0.11,-0.32,-0.09,0.006
2020-02-28,-0.78,0.06,-0.8,0.3,-0.4,0.006
2020-03-02,4.31,-1.96,-0.4,-0.55,0.55,0.006
2020-03-03,-2.79,0.64,-0.62,-0.48,0.23,0.006
2020-03-04,4.03,-1.2,-1.1,0.11,0.24,0.006
2020-03-05,-3.38,-0.18,-1.38,-0.9,0.15,0.006
2020-03-06,-1.78,-0.21,-1.39,0.76,0.37,0.006
2020-03-09,-7.79,-1.41,-4.72,0.09,0.48,0.006
2020-03-10,4.74,-2.37,0.79,0.46,0.06,0.006
2020-03-11,-5.05,-1.06,-0.83,0.03,0.1,0.006
2020-03-12,-9.63,-1.14,-1.23,-0.37,-0.26,0.006
2020-03-13,8.96,-2.01,3.0,1.19,0.8,0.006
2020-03-16,-12.0,-0.88,-0.91,0.59,1.19,0.006
2020-03-17,5.87,0.36,-0.99,-0.48,-0.07,0.006
2020-03-18,-5.56,-4.59,-4.73,0.27,0.21,0.006
2020-03-19,1.31,5.71,1.1,-1.6,-1.57,0.006
2020-03-20,-4.15,0.29,-0.91,-0.74,-1.2,0.006
2020-03-23,-2.55,1.64,-3.43,0.36,-1.22,0.006
2020-03-24,9.34,-0.16,2.41,0.38,0.22,0.006
2020-03-25,1.18,-0.13,1.82,-0.16,0.13,0.006
2020-03-26,6.02,-0.45,1.21,-0.54,0.04,0.006
2020-03-27,-3.48,-1.06,-0.66,-1.08,0.82,0.006
2020-03-30,3.16,-0.8,-2.17,-0.2,0.17,0.006
2020-03-31,-1.44,1.51,-0.47,0.38,-0.14,0.006
2020-04-01,-4.51,-2.04,-1.46,0.16,0.29,0.0
2020-04-02,2.1,-0.92,-0.29,-0.08,0.95,0.0
2020-04-03,-1.64,-1.37,-1.16,-0.21,0.4,0.0
2020-04-06,7.06,1.14,0.31,1.23,-0.77,0.0
2020-04-07,-0.11,0.14,2.18,0.85,-0.33,0.0
2020-04-08,3.4,0.88,1.3,0.41,-0.21,0.0
2020-04-09,1.59,2.45,3.19,-0.92,-0.09,0.0
2020-04-13,-0.92,-1.39,-2.42,-0.57,-0.09,0.0
2020-04-14,3.02,-0.7,-3.16,0.19,-0.36,0.0
2020-04-15,-2.15,-1.95,-2.51,-0.38,-0.33,0.0
2020-04-16,0.62,-0.86,-3.0,-0.35,-0.28,0.0
2020-04-17,2.72,1.55,2.71,-0.17,0.02,0.0
2020-04-20,-1.56,0.39,-0.93,-1.79,-0.56,0.0
2020-04-21,-3.08,0.97,0.08,0.24,0.35,0.0
2020-04-22,2.31,-0.88,-1.67,0.17,0.07,0.0
2020-04-23,0.13,1.3,0.56,0.58,-0.34,0.0
2020-04-24,1.44,0.29,-0.09,-0.17,0.17,0.0
2020-04-27,1.73,2.19,2.71,-0.11,0.2,0.0
2020-04-28,-0.45,1.66,2.83,1.41,0.73,0.0
2020-04-29,2.92,2.27,2.03,1.24,-0.83,0.0
2020-04-30,-1.18,-2.06,-1.69,0.69,-0.09,0.0
2020-05-01,-2.91,-0.9,-1.03,-0.38,0.36,0.0
2020-05-04,0.53,-0.16,-1.38,-0.79,-0.44,0.0
2020-05-05,0.95,-0.26,-1.97,-0.55,-0.51,0.0
2020-05-06,-0.52,0.12,-2.78,0.12,-0.64,0.0
2020-05-07,1.33,0.16,0.41,-0.17,-0.69,0.0
2020-05-08,1.9,1.93,2.48,0.89,0.39,0.0
2020-05-11,0.07,-0.24,-3.72,-0.82,-0.06,0.0
2020-05-12,-2.06,-1.16,-1.32,-0.68,-0.06,0.0
2020-05-13,-1.89,-1.47,-2.17,-0.07,-0.26,0.0
2020-05-14,1.14,-1.06,0.93,0.58,0.1,0.0
2020-05-15,0.57,1.32,-1.21,-0.01,-0.8,0.0
2020-05-18,3.24,2.64,4.58,1.7,0.36,0.0
2020-05-19,-1.01,-0.8,-1.43,0.48,-0.68,0.0
2020-05-20,1.8,1.21,1.28,-0.26,-0.33,0.0
2020-05-21,-0.7,0.76,0.44,0.09,0.0,0.0
2020-05-22,0.27,0.25,-0.86,-0.58,-0.38,0.0
2020-05-26,1.23,1.23,4.61,1.08,0.62,0.0
2020-05-27,1.54,1.42,3.64,0.77,0.4,0.0
2020-05-28,-0.41,-2.02,-2.4,-0.17,0.08,0.0
2020-05-29,0.6,-0.79,-1.97,-0.32,-0.46,0.0
2020-06-01,0.52,0.26,0.45,-0.04,-0.24,0.0
2020-06-02,0.81,0.1,0.48,0.12,0.23,0.0
2020-06-03,1.42,0.74,2.66,0.77,0.24,0.0
2020-06-04,-0.34,0.5,3.0,1.01,0.63,0.0
2020-06-05,2.5,1.16,2.68,0.74,0.06,0.0
2020-06-08,1.39,0.68,2.14,-0.45,0.58,0.0
2020-06-09,-0.85,-0.86,-1.94,-0.08,-0.52,0.0
2020-06-10,-0.56,-1.79,-4.18,-0.35,-0.35,0.0
2020-06-11,-5.91,-1.51,-3.06,-0.3,-0.26,0.0
2020-06-12,1.29,0.83,1.9,0.19,0.02,0.0
2020-06-15,1.09,1.4,-0.4,-0.75,-0.27,0.0
2020-06-16,1.87,0.65,0.48,0.7,0.22,0.0
2020-06-17,-0.4,-1.35,-1.99,-0.54,-0.27,0.0
2020-06-18,0.19,0.02,-0.53,-0.37,-0.24,0.0
2020-06-19,-0.45,-0.16,-0.65,-0.78,-0.29,0.0
2020-06-22,0.71,0.46,-1.41,-0.39,-0.4,0.0
2020-06-23,0.42,0.19,-0.55,0.56,-0.11,0.0
2020-06-24,-2.61,-0.75,-1.33,-0.09,0.35,0.0
2020-06-25,1.12,0.35,0.51,-0.82,0.14,0.0
2020-06-26,-2.44,-0.15,-1.4,0.01,0.7,0.0
2020-06-29,1.51,1.47,1.79,1.49,0.38,0.0
2020-06-30,1.58,-0.01,-0.02,-0.39,-0.27,0.0
2020-07-01,0.41,-1.67,-2.51,-0.43,-1.22,0.0
2020-07-02,0.49,0.01,-0.09,0.38,0.18,0.0
2020-07-06,1.64,-0.66,0.37,0.25,-0.01,0.0
2020-07-07,-1.03,-0.97,-1.54,-1.03,-0.03,0.0
2020-07-08,0.91,0.09,-0.46,-0.43,-0.33,0.0
2020-07-09,-0.53,-1.54,-2.6,-0.31,-0.59,0.0
2020-07-10,1.11,0.6,3.05,0.78,0.18,0.0
2020-07-13,-1.2,-0.29,2.0,1.14,1.17,0.0
2020-07-14,1.35,0.33,-0.35,-0.01,0.45,0.0
2020-07-15,1.13,2.69,1.31,0.18,0.1,0.0
2020-07-16,-0.37,-0.16,0.77,0.31,0.34,0.0
2020-07-17,0.3,-0.15,-1.41,-1.06,0.01,0.0
2020-07-20,1.02,-1.09,-2.37,-0.85,-1.31,0.0
2020-07-21,0.15,1.45,3.24,0.55,0.91,0.0
2020-07-22,0.49,-0.61,-0.33,0.5,0.02,0.0
2020-07-23,-1.2,1.21,1.93,-0.16,0.19,0.0
2020-07-24,-0.75,-0.78,0.47,0.29,0.06,0.0
2020-07-27,0.88,0.31,-1.94,-0.25,0.07,0.0
2020-07-28,-0.81,-0.44,0.98,0.28,0.12,0.0
2020-07-29,1.35,0.65,0.86,0.23,0.15,0.0
2020-07-30,-0.29,0.03,-1.83,-0.49,-0.17,0.0
2020-07-31,0.61,-1.77,-0.65,0.75,0.72,0.0
2020-08-03,0.98,1.06,-0.8,-0.29,0.3,0.0
2020-08-04,0.37,0.43,0.05,0.14,0.06,0.0
2020-08-05,0.78,1.2,0.86,0.12,-0.15,0.0
2020-08-06,0.53,-0.6,-0.79,0.58,0.07,0.0
2020-08-07,0.02,1.52,2.34,0.49,0.17,0.0
2020-08-10,0.24,1.27,1.67,0.86,1.24,0.0
2020-08-11,-0.83,0.18,1.59,0.89,0.07,0.0
2020-08-12,1.4,-0.81,-1.31,0.95,-0.14,0.0
2020-08-13,-0.01,-0.12,-1.3,-0.63,-0.55,0.0
2020-08-14,-0.04,0.04,1.02,0.4,0.17,0.0
2020-08-17,0.45,0.03,-1.96,-0.8,-0.51,0.0
2020-08-18,0.22,-1.31,-1.4,0.04,-0.55,0.0
2020-08-19,-0.38,0.48,0.08,-0.02,-0.11,0.0
2020-08-20,0.31,-0.96,-1.52,0.04,-0.5,0.0
2020-08-21,0.25,-1.2,-0.41,0.65,0.73,0.0
2020-08-24,0.92,0.23,2.56,1.07,0.59,0.0
2020-08-25,0.36,-0.02,-0.62,-0.44,-0.68,0.0
2020-08-26,1.0,-1.66,-1.73,-0.08,-0.83,0.0
2020-08-27,0.18,-0.03,0.98,0.55,-0.47,0.0
2020-08-28,0.7,0.4,-0.21,0.16,-0.09,0.0
2020-08-31,-0.04,-0.93,-1.76,-0.64,-0.15,0.0
2020-09-01,0.92,0.24,-0.31,0.58,0.09,0.0
2020-09-02,1.27,-0.28,-0.41,0.71,-0.36,0.0
2020-09-03,-3.7,0.42,2.57,-0.1,-0.04,0.0
2020-09-04,-0.87,0.33,2.09,0.8,0.93,0.0
2020-09-08,-2.91,0.93,-0.2,-0.66,-0.54,0.0
2020-09-09,2.07,-0.58,-1.99,-0.1,-0.23,0.0
2020-09-10,-1.64,0.41,-0.06,-0.33,-0.33,0.0
2020-09-11,-0.06,-0.62,0.89,0.26,0.48,0.0
2020-09-14,1.59,0.97,-0.79,-0.81,-0.01,0.0
2020-09-15,0.57,-0.66,-1.42,0.08,-0.4,0.0
2020-09-16,-0.39,1.15,1.35,-0.95,0.23,0.0
2020-09-17,-0.85,0.49,0.16,0.1,0.61,0.0
2020-09-18,-0.88,0.74,-0.17,-1.11,-0.46,0.0
2020-09-21,-1.08,-2.58,-1.91,-0.46,-0.32,0.0
2020-09-22,1.02,-0.45,-1.65,0.6,-0.55,0.0
2020-09-23,-2.48,-0.63,0.19,0.26,-0.12,0.0
2020-09-24,0.25,-0.2,0.32,0.49,0.11,0.0
2020-09-25,1.72,-0.16,-1.35,-0.5,-0.7,0.0
2020-09-28,1.66,0.86,1.03,0.36,0.19,0.0
2020-09-29,-0.42,0.42,-1.32,-0.78,-0.59,0.0
2020-09-30,0.79,-0.63,0.19,0.37,0.15,0.0
2020-10-01,0.79,0.81,-0.57,-0.03,-0.61,0.0
2020-10-02,-0.96,1.68,2.44,0.55,0.35,0.0
2020-10-05,1.93,0.87,-0.11,-0.45,0.1,0.0
2020-10-06,-1.28,0.85,0.24,-0.53,-0.06,0.0
2020-10-07,1.84,0.42,0.23,-0.29,0.1,0.0
2020-10-08,0.8,0.26,0.99,0.19,0.26,0.0
2020-10-09,0.93,-0.32,-1.41,-0.15,-0.32,0.0
2020-10-12,1.53,-1.0,-0.15,0.74,0.33,0.0
2020-10-13,-0.41,-0.17,-1.7,-0.84,-0.95,0.0
2020-10-14,-0.65,0.03,0.01,0.35,0.68,0.0
2020-10-15,-0.08,1.15,1.11,0.14,0.17,0.0
2020-10-16,-0.06,-0.15,0.04,-0.05,-0.11,0.0
2020-10-19,-1.53,0.37,0.27,-0.32,-0.25,0.0
2020-10-20,0.34,-0.09,1.27,0.57,0.23,0.0
2020-10-21,-0.36,-0.42,0.29,0.63,0.08,0.0
2020-10-22,0.67,0.93,1.07,-0.51,-0.03,0.0
2020-10-23,0.38,0.37,0.04,-0.2,-0.39,0.0
2020-10-26,-1.85,-0.45,-0.4,-0.04,0.05,0.0
2020-10-27,-0.23,-0.58,-2.38,-0.27,-0.73,0.0
2020-10-28,-3.41,0.22,0.55,-0.49,0.01,0.0
2020-10-29,1.13,0.14,0.23,0.23,0.57,0.0
2020-10-30,-1.45,-0.24,1.87,0.25,0.0,0.0
2020-11-02,1.17,0.8,0.99,0.4,0.36,0.0
2020-11-03,1.93,0.94,-0.21,-0.2,0.0,0.0
2020-11-04,2.25,-2.51,-4.88,-0.73,-1.81,0.0
2020-11-05,2.13,1.04,0.48,0.24,0.46,0.0
2020-11-06,0.01,-1.05,-0.93,-0.15,-0.1,0.0
2020-11-09,0.83,2.67,6.75,0.49,0.9,0.0
2020-11-10,-0.16,2.01,2.16,0.28,1.33,0.0
2020-11-11,0.88,-1.06,-1.76,-0.57,-0.2,0.0
2020-11-12,-0.94,-0.56,-1.17,-0.64,-0.24,0.0
2020-11-13,1.31,0.89,1.14,0.54,0.42,0.0
2020-11-16,1.22,1.21,1.92,0.64,0.85,0.0
2020-11-17,-0.19,0.6,0.02,-0.43,-0.39,0.0
2020-11-18,-0.93,-0.04,0.01,0.06,-0.41,0.0
2020-11-19,0.59,0.3,-0.72,-0.62,-0.24,0.0
2020-11-20,-0.51,0.62,-0.61,-0.71,-0.11,0.0
2020-11-23,0.83,1.36,1.55,0.23,0.0,0.0
2020-11-24,1.56,0.46,2.74,0.44,0.53,0.0
2020-11-25,0.03,-0.26,-1.27,-0.37,-0.56,0.0
2020-11-27,0.43,0.14,-1.66,-0.79,-0.37,0.0
2020-11-30,-0.53,-1.52,-2.05,-0.4,0.46,0.0
